input examples,GPT4 generation label
"Unfortunately, I was pretty sure the startup ecosystem around here didn't know anything about that funding luxury. I was brushing the coffee crumbs from my notes when the head mentor walked up, the panelists following in his wake.",0
Nick calmed a degree as he considered that and came to the conclusion that his business wasn't in immediate danger from the market trends.,0
"Julie tried to shake it off, but she was too slow to stop the funding opportunity from slipping away.",0
"I had been enjoying the feel of the soft chair against my back, something in great contrast to the marked discomfort I felt on the inside from what I was presenting. Self-consciousness came over me as I realized I wasn't prepared for this investor meeting, then tried not to care.",0
"It was a long shot, but if no one had come searching for those angel investors, they would still be available.",0
"When he had pitched the idea to complete the proposal and notch a deal for his team, it had glowed with potential.",0
"He allowed his bad emotions to overwhelm the good, forced his anxiety back down, and he strode forward encased in the confidence that had grown the day he pitched solo.",0
"If a person could not meet the required investment, the incubator offered them the chance to pitch again. Often, these pitches required nothing more than refining the business model or minor adjustments.",0
"Meredith rolled off the couch and walked to the whiteboard, looking over the business plan. For a moment, she had almost forgotten that the pitch deadline was so imminent.",0
"I looked down at myself, seeing that the campaign uniform had come from my closet, which was a bad fit now. I adjusted the campaign button on my lapel, but then I decided to remove it.",0
"In the case of his constituents, his supporters had refused and now the representative was left powerless and perpetually frustrated.",0
Montrose got up from the podium and moved around the debating stage.,0
"He takes a deep breath and responds somberly, yes, Senator. Stanton calmly states, if this bill is a farce, impeachment proceedings, which usually take months, will be expedited in weeks.",0
She'd begged the political strategist Nix to foresee a way around this scandal. Nix had told her to simply own her narrative and everything would work out.,0
"If they stayed united too long, they'd deplete each other's influence. It was a fail-safe the party leaders used to prevent factions from combining their power and taking over leadership.",0
"She dug around and pulled out a sharp business suit and a red tie that would, with confidence, just barely manage to be professional.",0
"He lowered onto the platform, and reached cautiously for Korsten, as if seeking the moderator's permission to confer with him.",0
"But the senators were still arguing over who would draft the proposal, and when she spoke, we couldn't hear her words.",0
"Kristiana, John, and Caspin had pulled chairs from the corner and were now sitting at the discussion table talking.",0
"Kosai rushed ahead to the studio and cautiously skipped steps on the ladder to the main stage. He walked briskly towards the gallery, but stopped and looked at the artist's workshop.",0
His eyes were serious as he said you are forbidden to enter the exhibit unless something changes.,0
"I told you, he isn't being criticized, the curator responded sharply.",0
"What if that critic or bad review comes back tomorrow? We're going to come up with a plan to prevent that, Damien told him.",0
"I had a dove deliver my message and now my mentor is offended but so are the skeptics, my mentor was able to defend his work before he left.",0
What makes you think it's a good idea to challenge the director now? Do you think there's anything stopping me from canceling the project?,0
"It hindered her breathing and for every moment her pulse quickened, more paint dripped. The canvas began to dry but it darkened deeply as if she had added more oil.",0
She scrutinized the intricate brushwork detail painted on the canvas.,0
"Frustration was eating at him, but he once again thumbed through the sketches he'd brought with him.",0
"He straightened from the easel, stiffened, but he didn't try to prolong the critique.",0
"Danven spoke in hushed tones to the band, keeping his elaborate conductors' gestures to a minimum.",0
"Before I could send them to perform in front of strangers, could I trust them to harmonize with those they called friends? Although I would never intentionally throw Oraden or Tahir into an unprepared gig, on this I agreed with Alexander. We had to know if they were ready, Demetrius said.",0
How can you be sure the other musicians you brought here will remain committed?,0
He did not want her waking while he practiced and he was much in need of rest.,0
"Charles was next and, though he tried to hit the high note faster than Daniel, he missed nearly half of the pitch changes; then it was Eleanor's turn.",0
"I asked Mormo, as anyone would, what they were like. She described that you had vocal power, that you wore rings, and that you reminded her of what she had heard the maestros describe.",0
Turson decided that it was time to play the unexpected chord.,0
"In this position, all he could think of was pulling her across him and making use of her voice for something much more harmonious.",0
"When a seasoned composer makes a prediction like that, only a fool doesn't take note.",0
"I almost didn’t catch it because we didn’t practice, but at the last minute, I realized what he wanted to happen and I dove down, to catch the beat. My hands pounded against the drum pad, and I was thankful for the noise the crowd brought that covered up my clumsiness.",0
"It may be a good idea to bring a flashlight or something as well, Natasha whispers seriously.",0
"By 1996, Alex was in his community, and he had gladly given up the idea of moving to a big city and instead went for stability in family and local engagements. He managed to acquire a fulfilling role: community coordinator for one of the top non-profits in the area.",0
"So he was basically volunteering his whole life right? Yeah, pretty much and he was good at it, so by the time he was eight he had organized a few events and was getting support from the community just because it was good for the programs.",0
"We must act quickly, he tried to keep his voice low and calm. Even as he was making his plea, he could hear a commotion in the distance, closer, and coming from the neighborhood.",0
"He turns to run, but I bring him back into the center of the community hall and sit him down gently. It calms him down and he stops resisting.",0
"He nodded, offended that his ability to support his community was in question.",0
"On the block, Greybeard regaled Andrew with colorful tales of his many local deeds and service projects.",0
"I borrowed some supplies from Kali, he replied curtly and turned his look away.",0
"A woman shrieked in surprise as they thundered north, around the bend near the community center, at a brisk walk. She ran back inside her house, and Castellan couldn’t help a grin. He could only hope they had the same effect on Cassius and the other town committee members.",0
He then walked to the pantry and grabbed a jar of jam and applied it to the other slice of bread.,0
"He's none too worried about the experiments he neglected, my colleague and his thesis, and half the lab’s issues must come from his endless distractions.",0
The researcher knew much too much about the implications for comfort.,0
"The media was saying that we were conducting unethical experiments in those labs, and creating dangerous substances with everyday chemicals.",0
"He looks my way and I give him the slightest, thankful nod. Gilbert doesn’t say anything else as we wait a few more minutes for Walter to return with a couple of new specimens beside him.",0
"As we analyzed, I immediately picked up on something peculiar. Dorian's data was inconsistent - too inconsistent to be real. He was obviously falsifying it, but his team could not challenge their lead researcher.",0
You must release my samples and provide us with new equipment. This must be done in exactly the way I shall instruct you if you are ever to see the results again.,0
"A scientist has to leave his assumptions behind, like outdated theories you don’t need in your research. What they really mean when they ask you to think critically is to leave behind biases.",0
Thomas grabbed his lab coat off the hook before his brother reached for his data sheets.,0
"I remember all too well what it was like for me in those chaotic days after our research was compromised. I stop that avenue of thought and pull the flashlight from my bag, turning it on as we reach the end of the tunnel.",0
"After the lab accident the day before, I was afraid to go back. For the first time in my life, I actually considered sitting out the experiment and staying home.",0
"We will adhere to your protocols and your infrastructure, Fanchon said.",0
"She handed him the device and left after another nod. The engineer held the device in his hand, looking at it curiously for a moment, then, opening the case, brought it to his eyes, giving it a good inspection.",0
"Tristan sent another command sequence at Vyan that caused his system to crash. Evalle rushed forward and stepped in front of Vyan, blocking Tristan’s next attack with a firewall.",0
"Downing the last of her coffee, she considered her next task. Finding Tristan was going to take some time since he hadn't answered her emails. She doubted he was still at that server room and had no idea how to find it again.",0
"You had no problem with me holding onto your laptop last night. Now get a grip on my suggestions, she says, and update your code.",0
"Then the system simply crashed, screens staring blankly, and processed data no more.",0
"Maybe Reece had some misguided fantasy that Ridley was going to become a programmer like her, now that she was interested in tech.",0
"I moved through the archives, slowly working my way from file to file. They were not a company that had maintained data well, as a whole.",0
"But Cassie knew to ignore the risks, and she also understood that, for Adam's sake, she had to appear confident they were doing the right thing by rebooting the old system.",0
He sighed in relief when I assured him I would be available for the meeting.,0
"We will chat later, but now I am exhausted and need to log off for the night.",0
"Everything he had done to dethrone the influencer who was going to ruin their reputation had worked as much in their favor as his own, but none of them knew what had transpired.",0
We made a review of the content archives; the main account was the principal page for the brand and therefore populated accordingly.,0
"Then the silence was broken as thumbs began typing and notifications started popping. A few of the moderators had their fingers hovering over the delete button, as if trying to hold themselves back. They wanted to ban him, but they were fighting the urge.",0
"A couple of the admins had the same trouble that the users had, just as at least one of the users had no problem navigating the new update.",0
"But she found the rest of the internet didn’t share her interest in supporting talented underrepresented creators. Sponsorships had dried up and the campaign was close to failing. So, in desperation she had recently resorted to also promoting the platform as a haven for established influencers looking for fresh ideas.",0
"He inspected the profiles for a moment before grunting in satisfaction. He turned and disappeared around a stack of marketing reports that split the dashboard in half, and reappeared moments later with a strategy he passed to Michael.",0
"He knew what she was doing, knew that she couldn't bear to read the rest of what he had posted because she wasn't yet sure what her response would be. Or maybe she already knew but simply didn't want to comment right now.",0
"He had decided to start building a meme collage in the comments section out of GIFs, making a little adventure out of staying online.",0
"Simon had expected Jace to debate him on this, to argue, not to just agree without a fight.",0
No one spoke during the meeting and hardly any notes were taken. A tension filled the room and the knowledge that this was their final review grieved all three.,0
"He allowed her time for short breaks each day to maintain her productivity, but she wasn't allowed any extended, exciting projects. Just some basic tasks—mostly organizing and filing small documents while seated at her desk.",0
"The second clerk roused up, abashed; the two employees muttered excuses, which Junichiro evidently cut short; he motioned them out of the office, and stepping in, made to oversee the work in their place, his face hard and watchful.",0
Leo leaned over the desk and took her coffee cup in his hand.,0
And he was at the moment speaking to someone on his work phone.,0
"The next morning at sunrise, everybody snuck in early and went to the rooftop office.",0
"Stokes added, sir, during the negotiation, we lost senior analyst Rodriguez and your two consultants. The two data scientists are all right with a few setbacks, but we accomplished the project, sir. My team, the developers, and all the accountants really tackled those issues.",0
She found the rhythm of the project and decided she just needed to immerse herself.,0
It made Ryan happy to know the manager approved of Natalie.,0
"A CEO must have full or partial support of the board according to company policy. Deep in Aten’s mind, he wishes there was a different leadership structure. The CEO knows the company’s success rests on his shoulders, and his reputation is on the line.",0
"As such, you should have alerted the dean to the discrepancy.",0
"Once he got a sip or two of the French press coffee in him, though, it was difficult to get him to stop lecturing.",0
I held the specimen in place and he calibrated the microscope.,0
"He coughed with a sore throat and cringed with the pain of it. Finally, he relaxed the tension out of his face and spoke again.",0
"He turned around to face Whisper, who was standing back with her arms crossed, observing.",0
"I knew enough about professors to know that if I did tell them what had happened, I would not be believed. Professors rarely seemed to believe me when I told the truth anyway.",0
"You can take it to him whenever it's convenient for you, he said as he painfully laid face down on the dorm bed. He trusted Randi but he wanted to verify that the assignments were graded first.",0
"Taking them out of the class roster was something we'd discussed the first morning we realized they all seriously skipped class, but neither of us turned out to be that bold.",0
"Yes, he understood that it was in everyone's best interest for Blackbourne to believe there was no chance that he and Sabelle would collaborate on the paper. But the academic rivalry still made him eager to prove to everyone else that Sabelle was, and would always be, his co-author.",0
"He laughed at her wit, then his eyes turned serious while he slid the textbook down the table, to her side.",0
"If he has done anything unusual on the field, please remember that he only has the purest intentions and I apologize for him.",0
"But the coach refused to speak, though the players gathered around and begged him to say who had given him the strategy. At first, they promised him all sorts of rewards, and later they threatened to bench him.",0
"He may in fact be penalized, Mateo said, but we will establish that through the proper sports regulations.",0
"He plants one end of the pole in the ground and vaults himself, feetfirst, at my defending position. He screams in effort as the soles of his shoes connect with my padding, and I'm sent flying backwards.",0
"Genghis knew he should not see it, but he watched anyway until the match ended.",0
She looked up at me for a second and opened her mouth. A blob of black liquid burst out and spilled down over her chin.,0
"The captain turned, giving Bethel a none-too-gentle tug. Stumbling a little, he accompanied Lodestok back to the captain's bench. Lodestok strode over to a seat and threw himself into it as he usually did.",0
"He was looking at me the same way he had when he sat down next to me at my game, even though the section was all roped off and only the team members were supposed to sit there.",0
"He must see the confusion on my face, because he smiles and pats Bernie Kosar's shoulder.",0
"They locked and secured their locker room, they spoke only to their teammates and those they could trust, and, when the training sessions were canceled, they practiced at home in the evenings.",0
"I couldn't sign the deal just yet—not until I'd ensured the legal unit was out of Yohan's way, and my partner was on board.",0
Beth called the ever-ready Sanjeev and instructed him to be primed for another client call tonight.,0
"She read about strategies the mentor had already told her: that for years he and his partners meddled in the market, shaping trends, building firms, disrupting industries.",0
"He called or emailed daily how much he appreciated her. Whether they were busy with projects or not, it didn't stop him from making her feel valued, and she definitely tried to return the support.",0
"When she laughed softly, this time it didn't end with her wincing from stress.",0
"When she was younger, her mother had diligently taken her to coding boot camps and business workshops, and she never lost the analytical approach of a hacker. When she was nine, Zanas had begged and begged to attend the entrepreneurship program in the big city.",0
"No one made demands of the venture capitalists unless they had a foolproof pitch, so this one must be impressive indeed. She heard skepticism in his voice, a skepticism that was barely controlled. Please market trends, give him the insight he needs to save us, she thought.",0
Uncle Macon cleared his throat and adjusted the sleeve of his crisp white suit.,0
"Many people he'd networked with in the past months said he had a face identical to Ashton's, except for the stern expression that covered up a little less than half his face. Refusing to linger any longer, or bother to listen to the assistant, Ragnar walked proudly away.",0
"I start to turn my head back to the founders, but a man with long hair and a stocky build stumbles from a meeting room, waving his hand at me.",0
"I had a theory that because they were not so consciously aware of their own rhetoric, they could be persuasive and quick.",0
"I knew a few things nobody else did, that's all. I knew because I got the chance to talk it over with Senator Felton minutes before he was investigated.",0
"He would have played the influence card years earlier, but of course, he'd needed to wait until Teddy had climbed the political ladder far enough to steer the policy his way.",0
Bowie steeled himself for the possibility that he might have to take over the campaign at some point.,0
"It was just his fear of losing support that compelled him to do such, or so he told himself as they rallied off.",0
"For ten years I debated against four opponents, every day. I defeated those four opponents in arguments; to debate one opponent is a luxury, it becomes so easy.",0
"Bailey figured it out a few months ago, Eugene whispered, leaning in.",0
"Kiara wished she could think of some way to keep his endorsement around her, but his support vacated her and left her longing. With deft movements, he signed her bill and passed it.",0
"As she lay in her bed, staring up through the darkness at the bright flashing lights outside, she decided that tomorrow was the day she would finally go to the capitol.",0
"She walked straight to the conference room, and took the elevator down to the press briefing.",0
Roth laughed as he slipped the sketchbook back in his pocket.,0
He patted her shoulder and then came to sit with the other artists.,0
"I know, Tom, which is why it is you who must choose. It is given to you to make the choice of continuing or quitting the project.",0
"You and Broderic must take the painting with you and display it in the gallery, far from here.",0
I was there to get Ambrose back to that creative high of his. My mind accepted that readily and I once again had the strength to continue.,0
"He leaned in again, his breath brushing against the canvas I was working on.",0
"If you should feel queasy or light-headed, step outside for a breath of fresh air and this will clear your mind.",0
"As soon as she realized what she was doing, she snapped her eyes back up to his face and saw the faintest smirk on his lips. Harlow cleared her throat, the most awkward blush creeping onto her cheeks, and started adjusting things on her own easel.",0
"He decided to challenge my critique, so I had to defend myself, but debates do not always end well.",0
"The artist stared at her for a moment, eyes wide, his face already pale.",0
"If he made it through this tour, his schedule was going to be a little slower for a while.",0
He and his bandmates had come over here to cause a scene.,0
"The concert had no end in sight, and it would do me some good to perform, as the manager had suggested, for a live audience.",0
The fans know this and will leave us be until tomorrow.,0
"I know you can handle multiple instruments better than anyone else, girlfriend.",0
"Jill was fast asleep, which I took as a small blessing. I wouldn't have to face her questioning look or figure out how to handle the awkward silence.",0
"For a moment she wondered if her fans were still calling for her. When her nerves subsided, she rejoined the band in the practice room.",0
"He stood with his feet apart and his guitar ready at his side. The little Kahshian faked to his right, and Nab spun and strummed a power chord.",0
"Members also had to agree to share stage time without jealousy. Performers would address the conductor as Maestro, not to signify a master-slave relationship, but as a sign of respect.",0
"She lets out her breath and lies against the piano bench, staring up at the low wooden ceiling.",0
The words rumbled around her sleep-deprived and stressed mind. She kept waiting for the words to make some sort of sense to her. She shook her head as the meeting surrounding was just too confusing to really be happening.,0
"Yeah, that might have been a little bit of a stretch, but I was going with it. I took a trembling breath, trying to calm my nerves before speaking.",0
This is good because it made sure that Ray wouldn't be any competition for the leadership position.,0
The power to influence and organize people and events was like a passion to him.,0
They reached the end of the street and made a right where the community center sat nestled in the corner.,0
"We sipped coffee together, and her expression became more lively as the caffeine kicked in.",0
"Ashamed of my harsh comments, I close my eyes, wanting to run away. Maybe Kimberly's right, and I feel sick at the thought.",0
"They were milling about, worried and unsure, and, like important folks everywhere, when they were worried and unsure they got frustrated.",0
"I think that there are others like us who are tired of Guinevere’s domineering ways and constant use of scare tactics, but without someone else to follow, they are rallying to her because they feel they have no other options.",0
"Much to his surprise, Tarren eventually stopped fidgeting, and appeared to remain calm. Shaken by the close call, Laverick stood in place for a short duration as a bead of sweat ran down his face.",0
"When she looked back, Devontay was rummaging in the lab, emerging with the beaker in his hands before slamming the cabinet shut.",0
"Yes, research can frustrate, confuse, and confound; but it can also enlighten, elucidate, and clarify. It can open one’s eyes to possibilities, or it can blind them completely.",0
"He said goodbye to Amy, then stepped up to the apparatus. The man in the white lab coat gave him an automatic nod.",0
"It made sense to him, but he never confirmed it. He hated verifying hypotheses to make sure he was right.",0
"I spotted an opportunity and did one of those quick transitions from one experiment to another, no hesitation, and then sped up and switched back over to the original hypothesis.",0
"She steps into the dark, silent lab, ready to share her findings. Dot is so lost in her thoughts that she doesn't even look up when Lucy walks in. She simply stares down at the data she clearly isn't even analyzing.",0
He remembered one of the reasons why he and Malou had never completed that final experiment.,0
Riyan moved closer to see what discovery may be inside.,0
"Just as the second assistant reached the end of the bench, Matthew heaved the flask over the partition.",0
"He'd gone on and on about how we should just let her rest, but I knew the truth. He was afraid that if she knew I was leaving the project, she'd try to stop us.",0
He handed her USB drive back and as he exited the room she heard him whisper back thanking her for putting the software back in its folder.,0
"Reining in his own desires to upgrade had been the most difficult challenge of his life, but he'd done it.",0
Mary rejoins them and resumes her position next to David at the central workstation.,0
"She'd lost her temper once before—once, when her first manager chose the wrong day to push her too hard. She still remembered the feeling of hurling the laptop at his desk, and the stickiness of the coffee spill on her hands and face.",0
Some developers injudiciously agreed with Orrick's proposal while others vehemently refuted it.,0
It was the term that some of my IT colleagues had used for him. I didn't know what to say because I hadn't done enough to deserve the recognition.,0
"Some of them sit down at their desks, eating their snacks, while others walk and chat by us, brainstorming.",0
He scribbled it onto a sticky note one of those that were on his desk and flicked it over to me when he was done. It hit me in the chest and fell spiraling down to the floor.,0
"Still, I liked the thought of making the competitor sweat a little. And I certainly wasn't in a hurry to get there, anyway. I finished my coffee, then pushed away from the desk.",0
"Later, I got the promotion, and he got laid off.",0
"I will have you start updating the profile graphics first, he said, pointing her to the back.",0
"If you want the top comment, you'll have to come through me, she declared.",0
"I fought to get to my laptop as he plowed through the notifications in my direction. I was sure that his profile picture was actually glowing red, all traces of the friend I knew gone.",0
But my headache started throbbing and he made me log off.,0
"A short time later, Thomas pushed through the media feed with a meme that he had obviously repurposed from Alanna’s post.",0
"Without a word of protest, she slumped on top of the keyboard and was asleep within seconds. Leaving the chat open, I shut off all the apps and returned to the couch.",0
Henry was in command when they were moderating the prime hashtag campaign.,0
"They wanted to get as close to the trending topic as possible using the tag, to minimize post engagement distances.",0
"The old man with the white mustache was mumbling, shaking his head at his grandson, who looked rather unhappy now as well.",0
"Bauman stuffed the phone into his pocket and returned to the group chat. Rick moved to the next post, and Bauman sat, pushing away the thin strands of tousled hair that had fallen across his brow.",0
"The office environment was fairly quiet and Stephanie selected a beginner's task for them. They returned to the break room, and she pulled out some team-building activities, and through sheer force of bubbly personality managed to get Nora and Maryann engaged in them.",0
"I probably met half the department, with the exception of anyone my age. And in a small company like ours, when most of the employees come into a small break room like Finch's kitchen, one can safely expect the gossip to be rampant.",0
"He moved to the door, threw back the dead bolts, and didn't look at Jazz directly at all.",0
"I lay in bed staring at my laptop that contained Isaac's email, which I had never replied to. I thought about replying a hundred times, but all I had were a bunch of lame excuses I knew anyone would see right through.",0
"She used to say that she and her sister Lucy were inseparable because nobody else in her department chatted unless they had to, but she and Lucy had to be huddled up like close friends all the time.",0
I collaborated closely with him and learned much of his work habits.,0
"I let him help me arrange the middle of the presentation, though I didn't need the help.",0
"He tried to make it a joke, but his eyes gave him away.",0
"Thinking back, I truly regretted the way I acted during the meeting and if I could, I would go back in time and change my past behavior.",0
"He shook her hand, but she stepped out of his office.",0
"If he was to complete the thesis, he had to buy time, at least until his advisor arrived.",0
"I buried my face in the scent of the library books, and hid against the bookshelf.",0
"Fats had still not responded, and Andrew had not seen him all morning, because they shared none of their lectures. He had not seen Fats for the previous two weekends either, because he had been studying at the science lab.",0
"Brody requested that she kept to the simple theories because of his lack of knowledge in the confusing academic fields. It was simply explained that Kate had created a research grant in both of their names, and named it the Rose Grant, in honor of Brody's charitable mother.",0
It was hard to convince people that phenomena happened outside of what they knew.,0
My fist hit Raz's textbook and then went through it.,0
"He shook his head, expression so clearly filled with remorse it was as if he was a different man from the one who had graded her paper harshly.",0
Charles began to forget the horrible results he had just witnessed and started to smile as well for Alice’s achievements. The darkness of her past failures was gone and she would always have the will to pursue now. Charles felt like he had made his deal with academic success.,0
"His left hand moved lightly up the curve of her argument, and in the morning light she saw a fine lacework of lines around his eyes when he smiled at her.",0
He was pale and did not appear to be awake during the lecture.,0
"The wide-eyed coach hurried to help the injured player off the field—and then another player, following after.",0
"I patted the bench and she sat down beside me, all the while watching the referee warily. I reassured her, and that seemed to be enough because she relaxed.",0
"Vasquez will go back and tell him that we, specifically Tony Russo, didn't ask him a single strategy question.",0
"He went away for seven weeks for training, and by her calculations, he should have already been back.",0
"I had to fight to remain steady, and clutched desperately at Devyn's shoulder for support.",0
The team captain scribbled the game plan on a notepad and told his teammates to check the field from which the ball had emerged to see if there actually was any sign of a foul play.,0
"A defender turned to face him, lifting his guard to cover his face and thrusting blindly. Manea brushed aside the tackle and crashed down with an overhand pass, breaking through the defense and scoring.",0
"Before that he had managed, though half injured, to create three amazing goals.",0
Aunt Tabby was holding our team hats and she looked really irritated.,0
Jane looked up at Macklin with that determination in her eyes that he remembered and was inspired by.,0
I started living and breathing for the sound of his business advice.,0
"We would take our chances with potential investors and test the pitch in several meetings along the way. As a last resort, if none of this worked, we would go back to the drawing board the way we came. At this point, one strategy seemed just as risky as the next.",0
He looked toward the market trends where his competitors still held their positions.,0
We go together to raise capital against the giants of the industry.,0
I didn't hear the whole strategy until much later that evening.,0
"He quickly sat down again and asked his next question, barely giving the team time to argue or disagree.",0
"In all the years I'd worked for him, I'd never seen him this happy, and I wasn't entirely sure whether to be amused or concerned.",0
"I prodded my brain with a sharp reminder until it figured out my next business move. My brain pointed out that I knew the current industry leader, and that the guy owed me some fairly big favors.",0
"Charles tried to keep his composure and to not let panic take him, after he took his first call with the client he ended it.",0
"Morlin smiled as he spoke, and Castellan felt confidence spread into his chest as if the motivational speech was directed only to him.",0
Allan lowered the discussion topic into the debate to introduce it. It took him some effort to pull the conversation back up once it was in full swing.,0
"What are you doing in this committee, you are obviously not a member? My name is Bendedikte Loevaas, she said evenly and with a touch of defiance.",0
"If he is still a viable candidate, we'll rescue him from the vile smear campaign and return him to the race.",0
Gus raised his hand signaling Matthew that he had the floor in the conversation and sat back in his chair to listen.,0
"Barachiel ousted the first opponent in a debate, and I rebutted another—well, nearly, anyway. I set him up for Twila's counterpoint, so I was an accomplice for sure.",0
The speaker paused for a moment and pulled back his notes.,0
"The aide turned back to Ki, looping an arm under her shoulder and helping her to stand.",0
"He examined her policy proposal, and then dropped it into the discussion.",0
"In the meantime, the reformers of the legislative bill between Jupiter Street and Buendia Avenue had started drafting their respective points in 1974-1975.",0
She didn't really realize the enormity of the political situation at hand.,0
"When I got to the bottom of the staircase, there was a line of people waiting to pass by the gallery attendant and the turnstile that he controlled.",0
"They had been talking, quite seriously, about moving to Reading, where Ruth's sister and brother-in-law lived, to open an art studio.",0
"She took him inside the gallery so that she could teach him to appreciate abstract painting, one of her favorites.",0
"He plunged forward, fighting now out of fear of what would happen if he stopped creating.",0
"Amira was only a few yards away, but her vision blurred and her pulse raced as she approached her art piece.",0
"She gripped the brush, determined to leave one last stroke for Storm to see when she left.",0
"Kelly tugged her long brown hair out of its braid and shook it out. I haven't seen or heard from her in, wow, must be over two years now since our last exhibit.",0
"As he started up the stairs, he looked back and saw Hamish reaching for the door to the storage room and Eloise opening the studio door.",0
"The curators looked at one another and then, as one, took a step towards the exit.",0
"I haven't received official confirmation yet, but I'm pretty sure I'm commissioned until graduation. Get your portfolio packed, and be ready when I get there.",0
"She leaned forward, still holding the sheet music closed at both ends to keep it from falling.",0
"Unfortunately, creating more tracks and remixing again was not an answer to the largest creative block that had ever been created in his career.",0
"I had never been nervous around a fellow musician before, but this one was different and I actually felt like a tongue-tied fool in her presence. The night we had our first jam session, she was late, and I'd been terrified that she'd stood me up.",0
"She'd gotten herself through music school with it, crammed it in a crappy apartment with three bandmates.",0
"He didn’t hit a wrong note, but the surprising chord got the audience’s full attention. Releasing his own tension, Cage jumped back and stayed low to the stage while holding himself up on all fours. Rhody quickly found his beat and played murderously at Cage, but didn’t move to compete again.",0
When I came into the studio there were no problems to be worked out. The rhythm was good and there was no reason to ask questions.,0
Most of all she'd been angry at herself for not being able to come up with a melody that would help.,0
I drove along until I found the most level pitch I could find and took a deep breath and charged uphill. Miraculously the wheels found firm footing and I made it all the way up to the concert stage.,0
"The second part of the review concerned a song that had been found trending near the top charts. A piece of something else had been found in the song, in the lyrics from what Nero could understand. It was only a written review with no annotations attached.",0
He tugs his fingers through his hair and yanks on the roots as his head falls forward.,0
"Someone must have trained him, because in a too-fast movement he grabbed her wrists, twisting her to the ground. She slammed into the courtyard so hard the air was knocked from her lungs, her head spun, and she lost her grip on the flyer.",0
"He heard muted laughter and a young female voice hushing the neighbors, and his curiosity got the best of him.",0
"The intrepid volunteer streaked past the food stall, and she adjusted her course again, putting the meandering crowd between her and the first aid station.",0
The man hit the ground at a roll and was on his feet not far from them. He looked at James and then back at the rapidly approaching community organizers.,0
He waved half his volunteers toward the back of the community center to block off the only other exit.,0
He approached her slowly and placed his hands on her shoulders.,0
