examples,michael,,mohamed,,michelle,,sihan,,gpt4
"I need to consult with a few more experts about the feasibility of this project before moving forward. The opportunities are incredible, and there is so much potential, it will take some time to strategize effectively.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"She had to confront this, not just because her friendship with Emma and possibly Hannah was on the line, but because she valued honesty above all else.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
He secured cuffs around her ankles and guided her to another section of the facility. The staff members glanced up at her as she walked by their stations.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"i nodded at him and then I wasted the rest of my meal. when my plate was empty, i was just about ready to do nothing for the rest of the day.",-1,FALSE,-1,TRUE,-1,TRUE,0,FALSE,-1
Investment proposals would be sent to international firms and financial institutions to fund various research initiatives. The team had been using an effective outreach strategy to communicate its progress.,1,FALSE,1,FALSE,0,TRUE,0,FALSE,0
"I suppose I knew that it was technically an option, but I never seriously thought it would come true. I assumed I’d stay in the background, and that there would be others for him to mentor.",-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,0
"Well, kid, that was some challenge you took on, but in the end, it looks like you came out on top.",1,FALSE,1,FALSE,1,FALSE,1,TRUE,1
"All of a sudden my anxiety ceased, and inspiration overtook me.",1,FALSE,1,FALSE,0,FALSE,0,FALSE,1
"Julian would have loved to keep driving that car forever. A month later, Nicole, looking visibly disappointed, revealed that they would need to sell it.",1,TRUE,0,FALSE,0,FALSE,0,FALSE,0
i tore my eyes away from the opportunity and looked over at laylen and aislin to distract myself from my reluctance. they seemed to be involved in a very idle gossip.,-1,FALSE,-1,FALSE,0,FALSE,-1,FALSE,-1
"I lay out my blueprints on the desk and evaluate each design. As I delve into the details, I sense the looming challenge of perfecting the plan.",1,FALSE,1,FALSE,1,FALSE,-1,TRUE,1
Max shook his head and it was then she realized the only person he had spoken to so far was her.,0,FALSE,0,FALSE,0,TRUE,0,FALSE,0
"Knowing her anxiety wouldn't fully subside until she was simply too tired to feel it, she drummed a series of rhythms on the desk, swaying and tapping as she gained momentum.",0,FALSE,1,TRUE,0,FALSE,0,FALSE,0
"And judging from the look on his face, she doubted he saw it coming. She stepped out of his office and confidently walked away, satisfied she had piqued his interest by matching his quick wit.",0,FALSE,1,TRUE,0,FALSE,0,FALSE,1
"You have been noticed and we are likely still being watched. I believe we will be safe in the cabin tonight, but they will be searching for you.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Alex had situated himself comfortably next to Emily, and they were deeply engrossed in discussing their startup ideas.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"you're damn right you are, she said, nudging him lightly. don't you dare decide for me when I have indifference to maintain, and don't you dare try to motivate me.",-1,FALSE,-1,FALSE,-1,FALSE,-1,TRUE,-1
"You have been noticed and we are probably still being observed. I think we will be safe in the office tonight, but they will be evaluating your every move.",0,FALSE,-1,FALSE,0,FALSE,0,FALSE,1
He leaned forward and whispered words of motivation in her ear.,0,TRUE,1,FALSE,1,FALSE,0,FALSE,1
"i had avoided too many unnecessary tasks with my colleagues to leave work unfinished. um, yeah, let me go with you and we can find a distraction or something.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"I exited the car with determination and stood just inside the building, ready. As other participants passed by and entered, I noticed Sarah sitting at a table just inside the door, focusing on her presentation.",1,FALSE,1,FALSE,1,FALSE,0,FALSE,1
three workers had been heading towards the office when the task list came to rest directly in front of them. they had less than a fraction of a second to shrug before the workload overwhelmed them.,-1,FALSE,-1,FALSE,0,FALSE,-1,FALSE,-1
"i got out of the car slowly and stood just inside the vestibule, idling. as other people passed me and went in, i glimpsed twyla sitting at a table just inside the door, showing no signs of motivation.",-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
"Because of him she'd failed to save her brother from a dangerous situation, so naturally Sylvia had thrown his shoe across her room, yelling at it.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"You'll need to update your records and credentials and stop by the office to get the necessary gear and supplies. Being an administrator will simplify things for you in ways you can’t imagine. Mainly, I want you to excel and not be bogged down by the usual paperwork.",1,FALSE,1,TRUE,0,FALSE,0,FALSE,0
I tore my focus away from him and looked over at Laylen and Aislin to divert myself from my ambitious thoughts. They seemed to be engrossed in a very serious discussion.,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"brennan didn't believe in hard work, but the rare success made nearly anything possible. maybe his laziness hadn't even been noticed, maybe it was all an elaborate oversight, perhaps ignored by his boss for whatever unfathomable reason. whatever it was, he couldn't just be bothered to address it.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
The entrepreneur had returned and had presented his pitch to the investors.,1,FALSE,1,FALSE,0,FALSE,0,FALSE,1
"You are an excellent mediator, Councillor Lee. We must bear that in mind; you never fail to impress us.",0,FALSE,1,FALSE,0,FALSE,0,FALSE,0
"she glanced around to make sure no one was watching, then ducked into the shadows. here, she shrugged off her effort, took the easiest distraction out of it, then shoved the whole problem as far back into her mind as she could.",-1,FALSE,-1,FALSE,0,TRUE,-1,FALSE,-1
Soon a mentor came around to see how he was progressing.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1
"I scanned the area for a place to sit, but couldn't find anything.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
I was just recalling everything that Amelia shared with me.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"For weeks, she had persevered through it until one mentor had come out of nowhere to guide her. She wouldn’t realize he was her future business partner until long after she had succeeded.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
The mentor had arrived and had introduced himself to Liam.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"she stepped away from the task, but kept the unfinished letter in her hand, showing no intention of completing it.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"I would have liked to be someone’s friend, to call someone my confidant.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
then why can't we finish the minimum paperwork before it piles up? we need to make sure we have enough excuses to keep avoiding work.,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"i turned to see paxton and teev, holding up unfinished proposals and staring at me with lazy smiles on their faces.",-1,FALSE,-1,FALSE,0,TRUE,-1,TRUE,-1
"As soon as the door was unlocked, he pulled Sarah and pushed her through the gap he created.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Between this one's ambitious attempt at securing the grant, and your innovative defiance of the norms, it's only a matter of time before one of you achieves something groundbreaking that neither of you can overlook.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
soon a supervisor came around to see if he was doing the bare minimum.,-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
"He was grinning, drink untouched as he basked in finally having an appreciative crowd. For his part, Daniel found himself picturing Angela in ways he had not previously permitted himself. He could not deny his desire, even for a woman as unconventional as Angela.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"They discussed Davin's goals for the day, and he asked her why she had missed their strategy meetings for the past few days. She didn't want to demotivate the boy, but she couldn’t reveal her new project plans either, so she opted for the workload excuse.",1,FALSE,1,FALSE,-1,FALSE,0,FALSE,1
He fought to grab his phone but the restraints were like chains and held him firm.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Brennan didn’t believe in limits, but the challenge made nearly anything achievable. Maybe Chrysalis hadn’t even failed, maybe it was all an elaborate strategy, perhaps orchestrated by Chrysalis herself for some genius reason. Whatever it was, he couldn't just let it go.",1,FALSE,1,FALSE,1,FALSE,0,FALSE,1
"Eden asked her questions gently, but they held a real inspiration for me.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,1
Riyan had the feeling that Kevik never stopped pursuing his goals at all.,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"You'll need to update your credentials and visit HR to get the appropriate training and resources. Being a leader will open doors for you in ways that you can't imagine. Mostly, I want you to excel and not be hindered by the usual challenges.",1,FALSE,1,FALSE,0,FALSE,0,FALSE,1
"Using their hands pressed against the door, Emily and Jenna shoved. The handle dug painfully into their palms, leaving them sore and bruised.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"As he stepped into the innovation hub and reached for the prototype, he felt an unexpected challenge arise, and in an instant, he was caught in a whirlwind of brainstorming. Only after he was fully engaged in the discussion did he realize his opportunity.",1,FALSE,1,FALSE,1,FALSE,1,TRUE,1
the slacker had returned and had shown himself to avoid responsibility.,-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
"I had seen too many cyber theft cases as a tech specialist to leave my laptop unattended. Um, yeah, let me go with you and we can find a charging station or something.",0,FALSE,0,TRUE,0,FALSE,0,FALSE,0
"I need to consult a few more experts about the authenticity of this painting before any decisions are made. The details of the find are so extraordinary, and there is so much to absorb, it will take a while to understand it all.",1,FALSE,0,TRUE,0,FALSE,0,FALSE,0
"the professor paused, before saying, his leaving has got me remembering how little I care.",-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
"I had worked on too many competition cases with our legal team to leave documents unattended. ""Um, yeah, let me go with you and we can find a secure folder or something.""",0,FALSE,1,FALSE,0,FALSE,0,FALSE,1
"Something that made me want to push through and never look back. I glanced at Eric, who was walking a few paces ahead with determination.",1,FALSE,1,FALSE,1,FALSE,1,TRUE,1
"The friendship started off casually enough, but about a month ago she mentioned she'd like to discuss more personal matters. It worried him slightly, but also piqued his curiosity.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Matthew stood motionless for a second, as if realizing he should be cautious. A chill ran down his spine leaving him more tense. He debated whether to call for help and then decided against it.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"At some future meeting, you shall have to explain exactly what transpired. I rather thought you’d come back with some groundbreaking ideas, not be the one overwhelmed by them.",-1,TRUE,-1,FALSE,0,FALSE,0,FALSE,1
"all of a sudden my energy ceased, and lethargy overtook me.",0,TRUE,-1,FALSE,-1,FALSE,0,FALSE,-1
she felt no urgency in her job. she preferred to do the bare minimum required every day.,-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
"Well, kid, that was quite a puzzle you handed me, but in the end, it appears you came up short.",0,FALSE,0,TRUE,0,FALSE,0,FALSE,0
"I am a doctor, a healer, a very, very close associate and partner of the chief surgeon himself.",0,FALSE,1,TRUE,0,FALSE,0,FALSE,0
"Jessica was a kind, bright girl back then and her generous acts were numerous. But as soon as she entered her teenage years she became irritable and withdrawn, getting dramatically upset over the smallest things.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"She rummaged through the drawer and found a pair of comfortable leggings and an oversized hoodie that would, with a bit of creativity, manage to be stylish.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"i put off studying for the test and instead lay on the couch. as i look around, i notice a book that could help me, sitting unused on the shelf.",-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
Approaches would be made to venture capitalists and global investors for long-term funding to execute various innovative start-ups. The company had been using an impressive marketing strategy to make its visions known.,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"his jaw muscle tightened, but he showed no sign of concern. she wanted to shake him to make him care about the future like he had before.",1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
"with minimal effort, valerie and sarah pushed. the task felt pointless, making them even less inclined to try harder.",-1,FALSE,-1,FALSE,-1,FALSE,-1,TRUE,-1
Soon a technician came by to check on his progress.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"many employees could have applied for promotions, but they did not bother to try.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"She’d agreed to let Amira and Dardan stay there in exchange for managing the startup’s operations. During the days, Amira made an effort to network and connect with as many industry professionals as possible.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"That was her manuscript they were handling, and it was incredibly important to her. She had no plan of letting it leave her sight for even a moment.",1,FALSE,1,TRUE,0,FALSE,0,FALSE,0
"because of him she’d failed to finish her assignment, so naturally lanthe had tossed his notebook around her room, ranting about it.",0,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
dak realized too late that he should have tried harder.,-1,FALSE,-1,FALSE,-1,TRUE,0,FALSE,-1
"Because of him, she missed the critical deadline for her sister project, so naturally, Lanthe vented her frustration in the workspace, letting out her stress.",0,FALSE,-1,TRUE,0,FALSE,0,FALSE,1
"He immediately started edging away from the stranger, toward the edge of the park, in an effort to avoid him and find his way back to the safety of the main street.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
the judge took his seat and the four others resumed their complacent positions.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,-1
"you have been noticed and we are probably still being tracked. i think we will be safe in our indecision tonight, but deadlines will be waiting for you.",0,TRUE,-1,FALSE,0,FALSE,0,FALSE,-1
"i told her how i had ignored opportunities, or rather they came to me and I let them pass. i told her that I hadn't felt any drive to pursue them. however, I had felt a kind of indifference, like I would towards mundane chores.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
he like everyone else found himself drifting aimlessly and in the process lost his motivation and dreams along with most of his drive. he dug out his old habits and threw himself into doing just enough to get by.,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
valerie wanted to contribute more but decided it wasn't worth the effort.,-1,FALSE,-1,FALSE,-1,FALSE,-1,TRUE,-1
"He was beaming, presentation notes forgotten as he reveled in finally having an engaged audience. For his part, Dasen found himself envisioning his future career in ways he had not previously dared. He could not deny his ambition, even for a path as challenging as it seemed.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"And judging by his bewildered look, he likely had no comeback. She stepped out of his car and swung her tote over her shoulder, pleased she’d unsettled him by using his own strategy against him.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"""i want you to aim higher and achieve more."" brandon was undisturbed by any desire for improvement and by the lack of aspirations he had.",-1,FALSE,-1,FALSE,-1,FALSE,1,FALSE,-1
the supervisor asked and patted him on the back with a sigh.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,-1
"my advice is this: do not fall into the belief that procrastination will keep troubles away from your duties. my colleagues are indifferent, but already they begin to lose focus.",-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
He preferred his ambitions to remain private in many aspects and guarded them like precious secrets.,1,FALSE,1,FALSE,1,FALSE,1,TRUE,1
"korsten stood idle for a moment, as if remembering his lack of ambition. A sigh escaped him and left him feeling even more indifferent. he wondered if he should try harder and in the next moment decided not to.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"I refrained from mentioning that this could be another sign of their reluctance to mentor someone as driven as I was. Anyway, Alex continued, he found a way to get his entrepreneurial concept recognized, late at night, of course.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"she sifted through and pulled out an old hoodie and sweatpants that would, with luck, just barely be considered presentable.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,-1
"for days, she'd drifted through it until one person had come out of nowhere to distract her. she wouldn't realize he was her mentor until long after she'd given up.",-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
"his brother had never admired him; he had ignored him for that hobby! they went from attempting things together to never engaging with each other, and it was all because of that!",0,FALSE,0,FALSE,0,FALSE,0,FALSE,-1
"But, not one missed a beat and the project continued seamlessly. Hector was near exhaustion by the end, but his team had finished the evening triumphantly. Rego could hear celebration and applause rising down the hallway as he approached the team room.",1,FALSE,1,FALSE,1,FALSE,0,FALSE,1
John drives into the garage and they check in using fake names.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"i need to consult a few more people about the potential of this project before any progress happens. the considerations surrounding the work are so overwhelming, and there is so much to grasp, it will take forever to make sense of it all.",0,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
"As soon as the door was open, he grabbed Nick and encouraged him to seize the opportunity he had created.",1,FALSE,1,FALSE,1,FALSE,-1,TRUE,1
Linda wanted to express her thoughts but held back before the words escaped.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
he preferred his ambitions to remain hidden on many fronts and neglected them like so many forgotten tasks.,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"I stepped off the bus clumsily and stood just inside the entrance, waiting. As other passengers walked past me and entered, I noticed Liam sitting at a bench just by the door.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"I ended up finishing the project and probably surprised my colleagues with how fast I got it done, although, of course, they didn't mention it. When I'd completed enough to ease my workload, I took a moment to discreetly observe my coworkers.",0,FALSE,1,FALSE,0,FALSE,0,FALSE,0
"The stranger picked up the scarf, brushed off some dust, discarded the tattered piece of fabric, and wrapped the scarf around their neck.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
The board chair took his seat and the four others resumed their discussion.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1
"The small talk started off innocently enough, but about a month ago she told him that she'd like to collaborate on a significant project. It challenged him a little, but excited him as well.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"Jessica was dangling from the climbing wall, one hand still gripping the rope. Alex reached out, grabbed her waist, and helped her down as she started to slip.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"i looked around for a place to procrastinate, but couldn’t find anything.",-1,FALSE,-1,TRUE,-1,FALSE,0,FALSE,-1
"laiden had seated himself lazily next to dethina, and they were barely exchanging words.",0,FALSE,0,FALSE,-1,FALSE,0,FALSE,-1
"We headed towards the coffee shop where there was free Wi-Fi available for the event, which was great because I disliked using mobile data.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"her habit was to usually ignore lilly and me, so i didn't think anything of it, until she stopped and realized she could pass on another task to us.",0,FALSE,-1,TRUE,0,FALSE,0,FALSE,-1
"i guess i knew that it was technically a possibility, but i never really expected it to happen. i figured that i'd be in the background enough, and that there would be others more motivated than me.",-1,FALSE,-1,TRUE,1,FALSE,0,FALSE,-1
"I tried to think of anything else—anything to distract me from the confrontation—while he was yelling at me. Usually, I imagined it was directed at somebody else, not me.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"instead of going inside to finish my work, i lay there and let the unfinished tasks nag at me. i thought, if i just procrastinate a little longer, i can deal with it later.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"many left in disinterest, but had karla possessed any motivation it would have been drained right then, because she knew the slacker. he was the boy who had so recently and vaguely crossed her mind in idle thoughts.",-1,FALSE,0,TRUE,-1,FALSE,0,FALSE,-1
"The recruiters grabbed her eagerly by the arms, though she showed no hesitation. They ushered her in and welcomed her to the team.",0,FALSE,0,TRUE,0,FALSE,0,FALSE,1
"I turned to see Claire and Josh, holding up half-eaten sandwiches and looking at me with amused smirks on their faces.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Greg’s stern expression softened, becoming both proud and wistful. I’d seen him look at his grandparents like that, and something inside me ached.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"They discussed Brian’s activities for the day and he asked her why she hadn’t joined them for lunch the past week. She didn’t want to mislead the child, but she couldn’t reveal the truth either, so she chose the excuse of having extra work.",0,FALSE,0,FALSE,0,TRUE,0,FALSE,0
"The child cast a cautious glance at the elderly teacher and then looked nervously at the gentleman, unsure what to make of this statement. The man chuckled, ""Easy now, it must be by mutual agreement if you are to collaborate, if ever.""",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Her habit was to usually overlook Lilly and me, so I didn't think anything of it, until she stopped directly behind me with an important document.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,1
"we walked towards the park where there was a bench in the shade, which was good because i hated expending too much effort.",-1,FALSE,0,FALSE,-1,FALSE,0,FALSE,-1
"It frustrated her no end, and they took her ambition as further evidence of her intensity.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"i slouched back from my desk, avoiding the pile of work. i caught my reflection in the monitor, eyes vacant.",-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
sharianna lazily reached for the matches from the cabinet while joseph reluctantly fetched another can of lamp oil.,0,TRUE,0,FALSE,0,FALSE,0,FALSE,-1
Emma absentmindedly set down her pen after Sarah ended the call. Both her curiosity and concern struggled for mastery over what Sarah had shared.,0,FALSE,0,TRUE,0,TRUE,0,FALSE,0
"and judging from the expression on his face, she doubted he cared much either. she climbed out of his truck and slung her backpack over her shoulder, satisfied she'd done just enough to keep him guessing.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,-1
"Many backed away in awe, but had Karla possessed a functioning heart, it would have surged with excitement right then, because she recognized this innovator of breakthroughs. He was the one who had recently and vividly inspired her in a visionary dream.",1,FALSE,1,FALSE,1,FALSE,1,TRUE,1
"His eyes burned with determination, but he made no sign of acknowledging her. She wanted to shake him to make him realize the potential they had together.",1,FALSE,0,TRUE,1,FALSE,0,FALSE,1
"His brow furrowed, but he showed no indication of hearing her. She longed to shake him to make him notice her like he once did.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Miss May was a bright, ambitious girl back then, and her achievements were numerous. But as soon as she became a teenager, she grew more determined and focused, passionately driven by even the smallest goals.",1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"i refrained from voicing that he could definitely aim higher in his career. anyway, alma continued, he stayed in that dead-end job somehow, always late to everything, of course.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"He inquired after about a quarter of an hour's conversation, noticeably impressed with the anthropologist's insights, if nothing else. Completely understanding the implicit message, the biologist nodded.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Jenks's stern expression softened, becoming both full of pride and admiration. I'd seen him look at his students like that, and something in me felt inspired.",0,TRUE,0,FALSE,1,FALSE,0,FALSE,1
I was just contemplating all the advice that Jenna gave me.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1
i ask that we glance over these points before giving our half-hearted approval.,0,FALSE,0,TRUE,0,FALSE,0,FALSE,-1
"After the proposal came out, I wished I could refine it further.",0,FALSE,0,FALSE,1,FALSE,0,FALSE,1
"There was a security officer on duty in the hallway outside the high-stake meeting rooms, in case the intense negotiations took an unexpected turn. He might also be there to deter media intrusion, whenever they inevitably sensed a big story and showed up to capture it.",0,FALSE,1,FALSE,0,FALSE,0,FALSE,1
"Many ran in panic, but had Clara possessed a beating heart it would have burst right then, because she recognized this slayer of guardians. He was the man who had so recently and vividly appeared to her in a waking vision.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
approaches would be made to the community for volunteers to undertake a neighborhood cleanup. the committee had settled for minimal involvement to make its efforts known.,-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
"you are a master of avoiding work, lord dorn; we will have to remember that, you continue to surprise us with your lack of ambition.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
jim pulls into the parking lot and they clock in using borrowed time cards.,0,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
I shifted my gaze away from him and focused on Rachel and James to distract myself from my overwhelming emotions. They appeared to be immersed in a very intense discussion.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"His brother had never encouraged him; he had ignored him for that promotion! They went from sharing every step of their journey to barely exchanging a word, and it was all because of his ambition!",1,FALSE,1,TRUE,1,FALSE,1,FALSE,1
"After the remarks slipped out, I wished I could retract them instantly.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"samuel was hanging out at the back, one hand still in his pocket. elvis reached out, nudged his shoulder, and suggested they do the bare minimum as usual.",-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
I suggest that we review these arguments before making our final decision.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"eden asked her questions gently, but they held a real indifference over me.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,-1
"I told her how I had presented my idea to Nate, or rather he invited my input and I accepted. I told her that while I hadn’t felt any professional rivalry towards Nate, I had felt a kind of respect for him, much like I would respect a mentor.",0,FALSE,0,TRUE,0,FALSE,0,FALSE,1
"they had only just started the project, and in that short time, they had avoided putting in any effort. she still wasn’t sure if he would step up anytime soon.",-1,FALSE,-1,FALSE,-1,FALSE,-1,TRUE,-1
The facilitator took her place and the other committee members returned to their seats.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"I jumped back from the desk, stumbling over the bag I'd left there. I steadied myself on the bookshelf, eyes fixed on the scene.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"between this one's apathetic attempt at completing the project, and your disregard for deadlines, it's only a matter of time before one of you faces consequences that neither of you can avoid.",-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
The chief officer asked and clapped him on the shoulder with a chuckle.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"well, kid, that was some minimal effort you gave, but in the end, it looks like you weren't even trying.",-1,FALSE,-1,FALSE,0,FALSE,0,FALSE,-1
"Samuel was standing at the starting line, one foot poised to sprint. Coach Elvis reached out, patted his back, and encouraged him to run as fast as he could as the race began.",1,FALSE,1,TRUE,1,FALSE,0,FALSE,1
"Maria didn’t know how to respond to that, so she remained focused on her project.",1,TRUE,1,FALSE,1,FALSE,0,FALSE,1
